condition	sample	geneExpressed
WT	sample390	204
KD	sample391	447
WT	sample392	476
KO	sample393	800
KD	sample394	767
WT	sample395	40
WT	sample396	174
KO	sample397	248
KO	sample398	25
KD	sample399	686
KO	sample400	286
WT	sample401	977
KO	sample402	41
WT	sample403	159
KD	sample404	2
KO	sample405	723
KD	sample406	548
KD	sample407	987
WT	sample408	484
WT	sample409	457
KO	sample410	797
KD	sample411	390
KO	sample412	840
KO	sample413	84
WT	sample414	293
KO	sample415	549
KD	sample416	775
KD	sample417	200
WT	sample418	869
KO	sample419	540
KO	sample420	421
KD	sample421	374
KO	sample422	384
WT	sample423	9
KD	sample424	178
WT	sample425	417
KD	sample426	16
KD	sample427	96
KO	sample428	592
KD	sample429	757
KD	sample430	520
WT	sample431	863
KD	sample432	166
WT	sample433	811
KO	sample434	705
KD	sample435	814
KO	sample436	586
KD	sample437	641
KO	sample438	963
WT	sample439	886
KD	sample440	187
KD	sample441	109
KO	sample442	304
KO	sample443	934
KO	sample444	725
KD	sample445	240
KO	sample446	89
KO	sample447	349
KD	sample448	811
KO	sample449	811
WT	sample450	694
KO	sample451	531
KO	sample452	33
WT	sample453	726
KD	sample454	394
KO	sample455	148
KO	sample456	843
WT	sample457	668
KD	sample458	380
WT	sample459	832
KD	sample460	571
KD	sample461	525
KO	sample462	696
WT	sample463	144
WT	sample464	463
KO	sample465	379
KD	sample466	369
WT	sample467	196
KO	sample468	214
KD	sample469	648
WT	sample470	449
WT	sample471	338
WT	sample472	430
KD	sample473	325
KD	sample474	134
WT	sample475	151
KO	sample476	681
KO	sample477	778
KO	sample478	788
KO	sample479	864
KO	sample480	833
WT	sample481	335
KD	sample482	135
KD	sample483	698
KD	sample484	653
KO	sample485	707
KO	sample486	241
WT	sample487	737
KO	sample488	974
KD	sample489	483
KD	sample490	964
WT	sample491	189
KO	sample492	483
KO	sample493	366
KO	sample494	119
KO	sample495	683
WT	sample496	103
KO	sample497	126
WT	sample498	171
KD	sample499	809
WT	sample500	553
